Source,MetricType,Scenario,Level,Region,Basin,FU,Constituent,Process,Units,Value
FU,FU,CHANGE,Region,BU,,Forestry,PN,,report,31.203084158821543
FU,FU,CHANGE,Region,BU,,Grazing,PN,,report,3300.9765526304086
FU,FU,CHANGE,Region,BU,,Horticulture,PN,,report,7.10221609591709
FU,FU,CHANGE,Region,BU,,Stream,PN,,report,141.29179512668833
FU,FU,CHANGE,Region,BU,,Sugarcane,PN,,report,108.20227350761272
FU,FU,CHANGE,Region,BU,,Urban + Other,PN,,report,16.478622446275182
FU,FU,CHANGE,Region,BU,,Bananas,PP,,report,0.0
FU,FU,CHANGE,Region,BU,,Conservation,PP,,report,226.13428260969536
FU,FU,CHANGE,Region,BU,,Cropping,PP,,report,22.44568469412387
FU,FU,CHANGE,Region,BU,,Dairy,PP,,report,0.0
FU,FU,CHANGE,Region,BU,,Forestry,PP,,report,17.061022795936182
FU,FU,CHANGE,Region,BU,,Grazing,PP,,report,2221.575731018407
FU,FU,CHANGE,Region,BU,,Horticulture,PP,,report,7.821206991699442
FU,FU,CHANGE,Region,BU,,Stream,PP,,report,138.87940843261887
FU,FU,CHANGE,Region,BU,,Sugarcane,PP,,report,38.113451398438436
FU,FU,CHANGE,Region,BU,,Urban + Other,PP,,report,8.496595176035814
FU,FU,CHANGE,Region,CY,,Bananas,DIN,,report,3.6522224126001217
FU,FU,CHANGE,Region,CY,,Conservation,DIN,,report,361.1096383068796
FU,FU,CHANGE,Region,CY,,Cropping,DIN,,report,0.6102473517071841
FU,FU,CHANGE,Region,CY,,Dairy,DIN,,report,0.0
FU,FU,CHANGE,Region,CY,,Forestry,DIN,,report,0.8918204701045362
FU,FU,CHANGE,Region,CY,,Grazing,DIN,,report,151.43183208644848
FU,FU,CHANGE,Region,CY,,Horticulture,DIN,,report,0.8063754490593724
FU,FU,CHANGE,Region,CY,,Stream,DIN,,report,0.11350671033338801
FU,FU,CHANGE,Region,CY,,Sugarcane,DIN,,report,0.0
FU,FU,CHANGE,Region,CY,,Urban + Other,DIN,,report,10.167717248323184
