ModelElement,Basin_35,Manag_Unit_48
SC #303,Burnett,Burnett
SC #327,Burnett,Burnett
SC #94,Burnett,Burnett
SC #466,Mary,Mary
SC #305,Burnett,Burnett
SC #102,Burnett,Burnett
SC #461,Burrum,Burrum
SC #321,Burnett,Burnett
SC #328,Burnett,Burnett
SC #319,Burnett,Burnett
SC #320,Burnett,Burnett
SC #92,Burnett,Burnett
SC #91,Burnett,Burnett
SC #93,Burnett,Burnett
SC #614,Burnett,Burnett
SC #326,Burnett,Burnett
SC #463,Mary,Mary
SC #177,Burnett,Burnett
SC #86,Burnett,Burnett
SC #579,Burrum,Burrum
SC #332,Burnett,Burnett
SC #465,Mary,Mary
SC #104,Burnett,Burnett
SC #454,Burrum,Burrum
SC #455,Burrum,Burrum
SC #106,Burnett,Burnett
SC #103,Burnett,Burnett
SC #460,Burrum,Burrum
SC #632,Burrum,Burrum
SC #87,Burnett,Burnett
SC #176,Burnett,Burnett
SC #597,Burrum,Burrum
SC #456,Burrum,Burrum
SC #457,Burrum,Burrum
SC #174,Burnett,Burnett
SC #90678,Mary,Mary
SC #565,Mary,Mary
SC #105,Burnett,Burnett
SC #606,Burnett,Burnett
SC #325,Burnett,Burnett
SC #168,Burnett,Burnett
SC #318,Burnett,Burnett
SC #464,Mary,Mary
SC #304,Burnett,Burnett
SC #620,Burnett,Burnett
SC #88,Burnett,Burnett
SC #459,Burrum,Burrum
SC #243,Burnett,Burnett
SC #324,Burnett,Burnett
SC #555,Mary,Mary
SC #458,Burrum,Burrum
SC #302,Burnett,Burnett
SC #244,Burnett,Burnett
SC #89,Burnett,Burnett
SC #274,Burnett,Burnett
SC #178,Burnett,Burnett
SC #107,Burnett,Burnett
SC #272,Burnett,Burnett
SC #242,Burnett,Burnett
SC #179,Burnett,Burnett
SC #90671,Mary,Mary
SC #245,Burnett,Burnett
SC #175,Burnett,Burnett
SC #551,Mary,Mary
SC #108,Burnett,Burnett
SC #271,Burnett,Burnett
SC #592,Burnett,Burnett
SC #612,Burnett,Burnett
SC #112,Burnett,Burnett
SC #170,Burnett,Burnett
SC #273,Burnett,Burnett
SC #580,Burnett,Burnett
SC #467,Mary,Mary
SC #564,Mary,Mary
SC #90672,Mary,Mary
SC #169,Burnett,Burnett
SC #468,Mary,Mary
SC #109,Burnett,Burnett
SC #180,Burnett,Burnett
SC #246,Burnett,Burnett
SC #181,Burnett,Burnett
SC #248,Burnett,Burnett
SC #482,Mary,Mary
SC #560,Mary,Mary
SC #301,Burnett,Burnett
SC #549,Mary,Mary
SC #563,Mary,Mary
SC #110,Burnett,Burnett
SC #554,Mary,Mary
SC #275,Burnett,Burnett
SC #247,Burnett,Burnett
