ModelElement,Basin_35,Manag_Unit_48
Outlet Node5,Daintree,Daintree
Node on catchment SC #26,Daintree,Daintree
110016A,Barron,Barron
Node on catchment SC #46,Barron,Barron
Node on catchment SC #76,Barron,Barron
Node on catchment SC #289,Herbert,Upper Herbert
Node on catchment SC #292,Herbert,Upper Herbert
Node on catchment SC #293,Herbert,Upper Herbert
Koom return inflow,Tully,Tully
Node on catchment SC #441,Johnstone,Johnstone
111007A,Mulgrave-Russell,Mulgrave-Russell
111105A,Mulgrave-Russell,Mulgrave-Russell
EXKOOM,Tully,Tully
Node on catchment SC #460,Barron,Barron
116016A,Herbert,Upper Herbert
116015A,Herbert,Upper Herbert
116010A,Herbert,Upper Herbert
116012A,Herbert,Upper Herbert
Node on catchment SC #167,Tully,Tully
Node on catchment SC #168,Tully,Tully
Node on catchment SC #200,Murray,Murray
Node on catchment SC #159,Johnstone,Johnstone
TR03,Tully,Tully
Node on catchment SC #166,Tully,Tully
Outlet Node32,Herbert,Lower Herbert
Node on catchment SC #181,Tully,Tully
Node on catchment SC #217,Herbert,Lower Herbert
Node on catchment SC #299,Herbert,Upper Herbert
Node on catchment SC #172,Tully,Tully
Node on catchment SC #455,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #210,Herbert,Lower Herbert
Node on catchment SC #209,Herbert,Lower Herbert
HE04,Herbert,Lower Herbert
Node on catchment SC #211,Herbert,Lower Herbert
Node on catchment SC #298,Herbert,Upper Herbert
Node on catchment SC #3,Daintree,Daintree
Node on catchment SC #366,Herbert,Lower Herbert
Node on catchment SC #468,Herbert,Upper Herbert
Node on catchment SC #229,Herbert,Lower Herbert
Node on catchment SC #239,Herbert,Upper Herbert
Node on catchment SC #222,Herbert,Lower Herbert
Outlet Node10,Mulgrave-Russell,Mulgrave-Russell
1080025,Daintree,Daintree
Node on catchment SC #23,Daintree,Daintree
BR02,Barron,Barron
Node on catchment SC #59,Barron,Barron
Outlet Node43,Mulgrave-Russell,Mulgrave-Russell
1120049,Johnstone,Johnstone
Node on catchment SC #419,Johnstone,Johnstone
BR04,Barron,Barron
Node on catchment SC #397,Barron,Barron
1111019,Mulgrave-Russell,Mulgrave-Russell
1110056,Mulgrave-Russell,Mulgrave-Russell
Node on catchment SC #86,Barron,Barron
Node on catchment SC #67,Barron,Barron
BRKUR_TWS,Barron,Barron
Node on catchment SC #70,Barron,Barron
Node on catchment SC #394,Johnstone,Johnstone
Node on catchment SC #128,Johnstone,Johnstone
Node on catchment SC #309,Herbert,Upper Herbert
Node on catchment SC #281,Herbert,Upper Herbert
Node on catchment SC #119,Johnstone,Johnstone
Node on catchment SC #322,Herbert,Upper Herbert
Node on catchment SC #121,Johnstone,Johnstone
SJ02,Johnstone,Johnstone
Node on catchment SC #123,Johnstone,Johnstone
SJ01,Johnstone,Johnstone
Node on catchment SC #176,Tully,Tully
Node on catchment SC #458,Tully,Tully
Node on catchment SC #171,Tully,Tully
Node on catchment SC #477,Tully,Tully
Node on catchment SC #268,Herbert,Upper Herbert
Node on catchment SC #267,Herbert,Upper Herbert
Node on catchment SC #262,Herbert,Upper Herbert
Node on catchment SC #259,Herbert,Upper Herbert
Node on catchment SC #266,Herbert,Upper Herbert
